"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"4773010536","광덕","경상북도 의성군 다인면 도암리","1941-01-01","1942-12-30","2","보조수원","38","1","1","10","10","100","필댐(죤형)","7","90","5","15","15","0","사통형","62","62","59"
"4773010537","조산","경상북도 의성군 다인면 도암리","1939-01-01","1940-12-30","2","보조수원","107","2","2","11","10","100","필댐(죤형)","12250","350","7","21","21","0","사통형","73","72","70"
"4773010538","효천","경상북도 의성군 다인면 도암리","1959-01-01","1964-12-30","1","주수원","230","20","19","107","10","100","필댐(죤형)","13337","275","10","615","615","0","사통형","77","76","72"
"4773010545","행현","경상북도 의성군 다인면 덕지리","1962-01-01","1963-12-30","2","보조수원","32","1","1","6","10","100","필댐(죤형)","80","80","5","3","3","0","사통형","70","70","67"
"4773010556","용천","경상북도 의성군 다인면 삼분리","1941-01-01","1943-12-30","2","주수원","146","6","6","34","10","100","필댐(죤형)","200","129","10","98","96","2","사통형","73","71","65"
"4773010557","도관","경상북도 의성군 다인면 삼분리","1938-01-01","1940-12-30","2","보조수원","91","1","1","10","10","100","필댐(죤형)","11","150","5","25","25","0","사통형","62","62","60"
"4773010558","홍연","경상북도 의성군 다인면 삼분리","1941-01-01","1942-12-30","2","보조수원","54","1","1","10","7","100","필댐(죤형)","3600","150","8","35","35","0","사통형","55","54","51"
"4773010559","등곡","경상북도 의성군 다인면 삼분리","1949-01-01","1950-12-30","2","보조수원","29","1","1","8","10","100","필댐(죤형)","7","109","5","10","10","0","사통형","70","70","67"
"4773010560","삼풍","경상북도 의성군 다인면 삼분리","1951-01-01","1952-12-30","2","보조수원","84","1","1","12","10","100","필댐(죤형)","189","189","6","35","35","0","사통형","75","75","71"
"4773010563","벽수","경상북도 의성군 다인면 외정리","1941-01-01","1942-12-30","2","보조수원","75","1","1","15","10","100","필댐(죤형)","9","100","6","38","30","8","사통형","59","59","55"
"4773010564","가산","경상북도 의성군 다인면 외정리","1950-01-01","1951-12-30","2","보조수원","27","1","1","3","10","100","필댐(죤형)","19","120","8","9","9","0","사통형","72","71","68"
