sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,source_zip,source_type,year,snapshot_score,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
계룡시,15,0,15,0,0.0,0,0.0,0,0,15,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,0.0,50.0,20.0,80.0,낮음
당진시,168,0,168,0,0.0,0,0.0,0,0,168,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,27.03180212014134,50.0,36.21908127208481,63.78091872791519,낮음
금산군,235,0,235,0,0.0,0,0.0,0,0,235,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,38.869257950530034,50.0,43.321554770318016,56.678445229681984,보통
부여군,275,0,275,0,0.0,0,0.0,0,0,275,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,45.936395759717314,50.0,47.56183745583039,52.438162544169614,보통
서천군,154,0,154,0,0.0,0,0.0,0,0,154,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,24.558303886925795,50.0,34.734982332155475,65.26501766784452,낮음
청양군,138,0,138,0,0.0,0,0.0,0,0,138,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,21.73144876325088,50.0,33.03886925795053,66.96113074204948,낮음
홍성군,248,0,248,0,0.0,0,0.0,0,0,248,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,41.1660777385159,50.0,44.699646643109546,55.30035335689045,보통
예산군,581,0,581,0,0.0,0,0.0,0,0,581,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,100.0,50.0,80.0,20.0,매우높음
태안군,142,0,142,0,0.0,0,0.0,0,0,142,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,22.43816254416961,50.0,33.46289752650176,66.53710247349824,낮음
천안시,184,0,184,0,0.0,0,0.0,0,0,184,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,29.858657243816257,50.0,37.91519434628975,62.08480565371025,낮음
공주시,432,0,432,0,0.0,0,0.0,0,0,432,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,73.67491166077738,50.0,64.20494699646642,35.79505300353358,높음
보령시,260,0,260,0,0.0,0,0.0,0,0,260,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,43.28621908127209,50.0,45.97173144876325,54.02826855123675,보통
아산시,252,0,252,0,0.0,0,0.0,0,0,252,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,41.87279151943463,50.0,45.12367491166077,54.87632508833923,보통
서산시,334,0,334,0,0.0,0,0.0,0,0,334,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,56.36042402826856,50.0,53.81625441696113,46.18374558303887,보통
논산시,223,0,223,0,0.0,0,0.0,0,0,223,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,36.74911660777385,50.0,42.04946996466431,57.95053003533569,보통
계룡시,15,0,15,0,0.0,0,0.0,0,0,15,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,0.0,50.0,20.0,80.0,낮음
