date,sigungu,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,record_count,reservoir_rate_risk_from_drought,weather_drought_risk_score,weather_drought_level
2023-01-05,태안군,0,93.0,86.4,107.6,0.0,,1,7.0,2.3333333333333335,낮음
2023-01-05,홍성군,0,92.6,79.4,116.7,0.0,,1,7.400000000000006,2.4666666666666686,낮음
2023-01-06,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-06,공주시,0,94.3,71.4,132.1,0.0,,1,5.700000000000003,1.900000000000001,낮음
2023-01-06,금산군,0,88.6,71.3,124.3,0.0,,1,11.400000000000006,3.800000000000002,낮음
2023-01-06,논산시,0,91.9,79.9,115.0,0.0,,1,8.099999999999994,2.699999999999998,낮음
2023-01-06,당진시,0,75.4,80.9,93.2,6.799999999999997,,1,24.599999999999994,10.466666666666663,낮음
2023-01-06,보령시,0,92.0,81.4,113.0,0.0,,1,8.0,2.6666666666666665,낮음
2023-01-06,부여군,0,95.8,74.6,128.4,0.0,,1,4.200000000000003,1.400000000000001,낮음
2023-01-06,서산시,0,95.0,81.7,116.3,0.0,,1,5.0,1.6666666666666667,낮음
2023-01-06,서천군,0,91.6,79.9,114.7,0.0,,1,8.400000000000006,2.800000000000002,낮음
2023-01-06,아산시,0,98.2,85.7,114.5,0.0,,1,1.7999999999999972,0.5999999999999991,낮음
2023-01-06,예산군,0,98.0,85.1,115.1,0.0,,1,2.0,0.6666666666666666,낮음
2023-01-06,천안시,0,94.1,82.2,114.5,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-06,청양군,0,97.6,79.8,122.3,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-06,태안군,0,93.0,86.5,107.5,0.0,,1,7.0,2.3333333333333335,낮음
2023-01-06,홍성군,0,92.7,79.5,116.6,0.0,,1,7.299999999999997,2.4333333333333322,낮음
2023-01-07,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-07,공주시,0,94.3,71.5,132.0,0.0,,1,5.700000000000003,1.900000000000001,낮음
2023-01-07,금산군,0,88.6,71.3,124.2,0.0,,1,11.400000000000006,3.800000000000002,낮음
2023-01-07,논산시,0,91.9,80.0,114.8,0.0,,1,8.099999999999994,2.699999999999998,낮음
2023-01-07,당진시,0,75.4,81.0,93.1,6.900000000000006,,1,24.599999999999994,10.5,낮음
2023-01-07,보령시,0,92.0,81.6,112.8,0.0,,1,8.0,2.6666666666666665,낮음
2023-01-07,부여군,0,95.8,74.6,128.3,0.0,,1,4.200000000000003,1.400000000000001,낮음
2023-01-07,서산시,0,95.0,81.7,116.2,0.0,,1,5.0,1.6666666666666667,낮음
2023-01-07,서천군,0,91.6,80.0,114.5,0.0,,1,8.400000000000006,2.800000000000002,낮음
2023-01-07,아산시,0,98.2,85.9,114.4,0.0,,1,1.7999999999999972,0.5999999999999991,낮음
2023-01-07,예산군,0,98.0,85.1,115.2,0.0,,1,2.0,0.6666666666666666,낮음
2023-01-07,천안시,0,94.1,82.3,114.4,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-07,청양군,0,97.6,79.9,122.3,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-07,태안군,0,93.0,86.5,107.5,0.0,,1,7.0,2.3333333333333335,낮음
2023-01-07,홍성군,0,92.7,79.6,116.4,0.0,,1,7.299999999999997,2.4333333333333322,낮음
2023-01-08,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-08,공주시,0,94.3,71.5,131.9,0.0,,1,5.700000000000003,1.900000000000001,낮음
2023-01-08,금산군,0,88.6,71.4,124.0,0.0,,1,11.400000000000006,3.800000000000002,낮음
2023-01-08,논산시,0,91.9,80.2,114.6,0.0,,1,8.099999999999994,2.699999999999998,낮음
2023-01-08,당진시,0,75.4,81.1,93.1,6.900000000000006,,1,24.599999999999994,10.5,낮음
2023-01-08,보령시,0,92.0,81.8,112.5,0.0,,1,8.0,2.6666666666666665,낮음
2023-01-08,부여군,0,95.8,74.7,128.2,0.0,,1,4.200000000000003,1.400000000000001,낮음
2023-01-08,서산시,0,95.0,81.8,116.2,0.0,,1,5.0,1.6666666666666667,낮음
2023-01-08,서천군,0,91.6,80.1,114.3,0.0,,1,8.400000000000006,2.800000000000002,낮음
2023-01-08,아산시,0,98.2,86.0,114.2,0.0,,1,1.7999999999999972,0.5999999999999991,낮음
2023-01-08,예산군,0,98.0,85.0,115.3,0.0,,1,2.0,0.6666666666666666,낮음
2023-01-08,천안시,0,94.1,82.3,114.3,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-08,청양군,0,97.6,79.9,122.2,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-08,태안군,0,93.0,86.6,107.4,0.0,,1,7.0,2.3333333333333335,낮음
2023-01-08,홍성군,0,92.7,79.8,116.2,0.0,,1,7.299999999999997,2.4333333333333322,낮음
2023-01-09,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-09,공주시,0,94.3,71.6,131.8,0.0,,1,5.700000000000003,1.900000000000001,낮음
2023-01-09,금산군,0,88.2,71.5,123.4,0.0,,1,11.799999999999997,3.9333333333333322,낮음
2023-01-09,논산시,0,92.1,80.3,114.7,0.0,,1,7.900000000000006,2.633333333333335,낮음
2023-01-09,당진시,0,75.8,81.2,93.3,6.700000000000003,,1,24.200000000000003,10.300000000000002,낮음
2023-01-09,보령시,0,92.3,81.9,112.6,0.0,,1,7.700000000000003,2.5666666666666678,낮음
2023-01-09,부여군,0,95.8,74.8,128.1,0.0,,1,4.200000000000003,1.400000000000001,낮음
2023-01-09,서산시,0,95.4,81.8,116.5,0.0,,1,4.599999999999994,1.5333333333333314,낮음
2023-01-09,서천군,0,92.7,80.3,115.4,0.0,,1,7.299999999999997,2.4333333333333322,낮음
2023-01-09,아산시,0,98.3,86.1,114.2,0.0,,1,1.7000000000000028,0.5666666666666677,낮음
2023-01-09,예산군,0,98.7,85.1,116.0,0.0,,1,1.2999999999999972,0.4333333333333324,낮음
2023-01-09,천안시,0,94.2,82.4,114.4,0.0,,1,5.799999999999997,1.9333333333333325,낮음
2023-01-09,청양군,0,97.5,80.0,121.9,0.0,,1,2.5,0.8333333333333334,낮음
2023-01-09,태안군,0,93.1,86.6,107.5,0.0,,1,6.900000000000006,2.300000000000002,낮음
2023-01-09,홍성군,0,93.0,80.0,116.2,0.0,,1,7.0,2.3333333333333335,낮음
2023-01-10,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-10,공주시,0,94.3,71.6,131.6,0.0,,1,5.700000000000003,1.900000000000001,낮음
2023-01-10,금산군,0,88.3,71.5,123.5,0.0,,1,11.700000000000003,3.900000000000001,낮음
2023-01-10,논산시,0,92.0,80.4,114.4,0.0,,1,8.0,2.6666666666666665,낮음
2023-01-10,당진시,0,76.0,81.3,93.5,6.5,,1,24.0,10.166666666666666,낮음
2023-01-10,보령시,0,92.4,82.1,112.7,0.0,,1,7.599999999999994,2.5333333333333314,낮음
2023-01-10,부여군,0,95.9,74.9,128.1,0.0,,1,4.099999999999994,1.3666666666666647,낮음
2023-01-10,서산시,0,95.3,81.9,116.4,0.0,,1,4.700000000000003,1.5666666666666675,낮음
2023-01-10,서천군,0,92.9,80.4,115.5,0.0,,1,7.099999999999994,2.366666666666665,낮음
2023-01-10,아산시,0,97.9,86.2,113.7,0.0,,1,2.0999999999999943,0.6999999999999981,낮음
2023-01-10,예산군,0,98.7,85.3,115.8,0.0,,1,1.2999999999999972,0.4333333333333324,낮음
